City Name,News_Source,Country,Coordinates
Elizabeth,AA,"Elizabeth, Union County, New Jersey, United States","(40.6639916, -74.2107006)"
Colorado,AA,"Colorado, United States","(38.7251776, -105.607716)"
Oklahoma,AA,"Oklahoma, United States","(34.9550817, -97.2684063)"
Wyoming,AA,"Wyoming, United States","(43.1700264, -107.568534)"
Oregon,AA,"Oregon, United States","(43.9792797, -120.737257)"
Washington,AA,"Washington, District of Columbia, United States","(38.8950368, -77.0365427)"
Virginia,AA,"Virginia, United States","(37.1232245, -78.4927721)"
Michigan,AA,"Michigan, United States","(43.6211955, -84.6824346)"
Missouri,AA,"Missouri, United States","(38.7604815, -92.5617875)"
Texas,AA,"Texas, United States","(31.2638905, -98.5456116)"
Columbia,AA,Colombia,"(4.099917, -72.9088133)"
Montana,AA,"Montana, United States","(47.3752671, -109.638757)"
New York,AA,"City of New York, New York, United States","(40.7127281, -74.0060152)"
Delaware,AA,"Delaware, United States","(38.6920451, -75.4013315)"
Chicago,AA,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212)"
Kansas,AA,"Kansas, United States","(38.27312, -98.5821872)"
Iowa,AA,"Iowa, United States","(41.9216734, -93.3122705)"
Florida,AA,"Florida, United States","(27.7567667, -81.4639835)"
Maryland,AA,"Maryland, United States","(39.5162401, -76.9382069)"
Oklahoma,AA,"Oklahoma, United States","(34.9550817, -97.2684063)"
Colorado,AA,"Colorado, United States","(38.7251776, -105.607716)"
Wyoming,AA,"Wyoming, United States","(43.1700264, -107.568534)"
Delaware,AA,"Delaware, United States","(38.6920451, -75.4013315)"
Virginia,AA,"Virginia, United States","(37.1232245, -78.4927721)"
Houston,AA,"Houston, Harris County, Texas, United States","(29.7589382, -95.3676974)"
Kansas,AA,"Kansas, United States","(38.27312, -98.5821872)"
Maryland,AA,"Maryland, United States","(39.5162401, -76.9382069)"
Iowa,AA,"Iowa, United States","(41.9216734, -93.3122705)"
Chicago,AA,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212)"
New York,AA,"City of New York, New York, United States","(40.7127281, -74.0060152)"
Oregon,AA,"Oregon, United States","(43.9792797, -120.737257)"
Washington,AA,"Washington, District of Columbia, United States","(38.8950368, -77.0365427)"
Los Angeles,AA,"Los Angeles, Los Angeles County, CAL Fire Contract Counties, California, United States","(34.0536909, -118.242766)"
Michigan,AA,"Michigan, United States","(43.6211955, -84.6824346)"
Montana,AA,"Montana, United States","(47.3752671, -109.638757)"
Columbia,AA,Colombia,"(4.099917, -72.9088133)"
Missouri,AA,"Missouri, United States","(38.7604815, -92.5617875)"
University,AA,"大學 University, 澤祥街 Chak Cheung Street, 馬料水 Ma Liu Shui, 九肚 Kau To, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国","(22.4135688, 114.2101033)"
Florida,AA,"Florida, United States","(27.7567667, -81.4639835)"
